date,city,source,latitude,longitude,temp_mean,temp_min,temp_max,precipitation_sum,wind_speed_max,pressure_mean,weather_code,year,month,day_of_year,season,is_forecast
2021-01-01,Rancagua,historical_csv,-34.1708,-70.7444,29.8,25.2,34.9,0.0,18.4,1014.1,,2021,1,1,verano,False
2021-01-02,Rancagua,historical_csv,-34.1708,-70.7444,27.8,20.5,34.4,0.0,24.0,1012.0,,2021,1,2,verano,False
2021-01-03,Rancagua,historical_csv,-34.1708,-70.7444,30.5,22.8,39.3,0.0,19.1,1009.4,,2021,1,3,verano,False
2021-01-04,Rancagua,historical_csv,-34.1708,-70.7444,27.2,18.9,33.0,0.0,22.2,1013.2,,2021,1,4,verano,False
2021-01-05,Rancagua,historical_csv,-34.1708,-70.7444,29.4,21.5,35.7,0.0,24.0,1017.9,,2021,1,5,verano,False
2021-01-06,Rancagua,historical_csv,-34.1708,-70.7444,28.1,21.1,37.6,0.0,21.7,1011.1,,2021,1,6,verano,False
2021-01-07,Rancagua,historical_csv,-34.1708,-70.7444,25.7,19.2,32.9,0.0,20.0,1018.7,,2021,1,7,verano,False
2021-01-08,Rancagua,historical_csv,-34.1708,-70.7444,28.9,22.5,37.6,0.0,15.1,1015.4,,2021,1,8,verano,False
2021-01-09,Rancagua,historical_csv,-34.1708,-70.7444,28.5,22.7,37.5,0.0,24.9,1013.9,,2021,1,9,verano,False
2021-01-10,Rancagua,historical_csv,-34.1708,-70.7444,28.5,23.1,35.9,0.0,21.8,1001.6,,2021,1,10,verano,False
2021-01-11,Rancagua,historical_csv,-34.1708,-70.7444,28.5,21.2,37.9,0.0,16.8,1016.1,,2021,1,11,verano,False
2021-01-12,Rancagua,historical_csv,-34.1708,-70.7444,27.3,20.7,33.9,0.0,22.0,1018.4,,2021,1,12,verano,False
2021-01-13,Rancagua,historical_csv,-34.1708,-70.7444,28.5,21.6,36.7,0.0,28.8,1015.3,,2021,1,13,verano,False
2021-01-14,Rancagua,historical_csv,-34.1708,-70.7444,29.6,22.6,36.1,0.0,17.8,1015.8,,2021,1,14,verano,False
2021-01-15,Rancagua,historical_csv,-34.1708,-70.7444,29.1,20.7,37.4,0.0,26.2,1006.9,,2021,1,15,verano,False
2021-01-16,Rancagua,historical_csv,-34.1708,-70.7444,27.7,19.5,35.7,0.0,14.3,1005.6,,2021,1,16,verano,False
2021-01-17,Rancagua,historical_csv,-34.1708,-70.7444,29.4,23.5,36.9,0.0,22.7,1009.7,,2021,1,17,verano,False
2021-01-18,Rancagua,historical_csv,-34.1708,-70.7444,25.7,18.2,30.7,0.0,17.4,1008.0,,2021,1,18,verano,False
2021-01-19,Rancagua,historical_csv,-34.1708,-70.7444,28.7,20.4,33.4,0.0,13.8,1014.9,,2021,1,19,verano,False
2021-01-20,Rancagua,historical_csv,-34.1708,-70.7444,31.0,23.6,39.7,0.0,20.6,1018.8,,2021,1,20,verano,False
2021-01-21,Rancagua,historical_csv,-34.1708,-70.7444,25.5,20.9,32.6,0.0,11.3,1010.2,,2021,1,21,verano,False
2021-01-22,Rancagua,historical_csv,-34.1708,-70.7444,28.6,21.8,35.0,0.0,18.1,1009.5,,2021,1,22,verano,False
2021-01-23,Rancagua,historical_csv,-34.1708,-70.7444,28.2,20.0,33.9,0.0,13.4,1014.7,,2021,1,23,verano,False
2021-01-24,Rancagua,historical_csv,-34.1708,-70.7444,29.2,24.3,38.3,0.0,21.8,1011.0,,2021,1,24,verano,False
2021-01-25,Rancagua,historical_csv,-34.1708,-70.7444,27.8,23.2,32.7,0.0,14.9,1017.3,,2021,1,25,verano,False
2021-01-26,Rancagua,historical_csv,-34.1708,-70.7444,28.3,23.7,34.8,0.0,16.3,1010.1,,2021,1,26,verano,False
2021-01-27,Rancagua,historical_csv,-34.1708,-70.7444,31.0,23.5,36.9,0.0,27.3,1010.2,,2021,1,27,verano,False
2021-01-28,Rancagua,historical_csv,-34.1708,-70.7444,31.3,25.7,36.5,30.6,19.1,1011.7,,2021,1,28,verano,False
2021-01-29,Rancagua,historical_csv,-34.1708,-70.7444,28.1,22.6,35.3,0.0,17.9,1006.4,,2021,1,29,verano,False
